mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0024083137512207033,0.00044042788372891596,0.001094675064086914,4.9597162091904785e-05,squared_error,,,1,2,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9364499880632524,0.9494494805035858,0.9147147639439087,0.9291324186762709,0.9190377463367432,0.9297568795047523,0.012443080358341492,261
0.0020036697387695312,6.246148160929091e-05,0.0010725021362304687,3.299341015422625e-05,squared_error,,,1,5,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9341577605936427,0.9519380211598857,0.9513282204637777,0.9321011666293512,0.9311271935065824,0.940130472470648,0.009444679324677465,172
0.0019085407257080078,3.836717232461924e-05,0.0011103153228759766,1.3390551910004786e-05,squared_error,,,1,10,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9352904200574143,0.9524335233889781,0.9563047646072282,0.9279236814098133,0.9339883836751215,0.9411881546277112,0.01111338328709555,167
0.0020341396331787108,2.3851106757097038e-05,0.0010945320129394532,2.7767485092730626e-05,squared_error,,,2,2,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.9493046217106513,0.9527823778139177,0.9515826621971043,0.9666755048137371,0.9341502279813908,0.9508990789033602,0.010353511639606544,91
0.0019999980926513673,1.4246662244931462e-05,0.0011030673980712891,1.4658070416901284e-05,squared_error,,,2,5,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.9488236862116185,0.9542653426662158,0.9494419614787074,0.9588408983163488,0.9342598752042198,0.9491263527754221,0.00827024767999015,120
0.0018677234649658204,2.718532236778065e-05,0.001092672348022461,2.3636890559020444e-05,squared_error,,,2,10,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.9564720294978047,0.9543729625063077,0.9559167069578846,0.9604172288114449,0.9345139654383726,0.9523385786423629,0.009132453781419782,81
0.0018296241760253906,6.627864972646352e-06,0.0010993480682373047,5.170990643206009e-06,squared_error,,,4,2,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.9429842973289629,0.9572215459693646,0.9589483571462981,0.9616913534143213,0.9553552732711675,0.955240165426023,0.006473236188812557,59
0.0018632888793945312,2.209531881397463e-05,0.0011336326599121094,1.4093260816669821e-05,squared_error,,,4,5,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.9429842973289629,0.9572215459693646,0.9591288358735596,0.9617322812176885,0.9552853143069086,0.9552704549392969,0.006502291105762298,56
0.0018926620483398437,2.496487305816766e-05,0.0011655807495117188,1.7814447332520217e-05,squared_error,,,4,10,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.944275209637868,0.958635122759665,0.9552765158581566,0.9624219668869499,0.95633877367307,0.955389517763142,0.006073400921872293,50
0.0018435001373291015,1.1575854261596176e-05,0.0011446952819824218,2.1100461815619354e-05,squared_error,,,6,2,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 2}",0.9583383929088253,0.9615114601229652,0.9473023552360755,0.9620803926111179,0.9524880144316733,0.9563441230621315,0.005660501957433117,38
